variable_id;NHR;PHARMO;PEDIANET;SIDIAP;Comments;;;;;
F_PODIATRIC_CARE;ND;ND;ND;ND;NA;;;;;
F_AMBULANCE;ND;ND;ND;ND;NA;;;;;
SV_HU_PRIOR_OTHER_NUM;0;0;0;0;NA;;;;;
SV_HU_PRIOR_ANY_COVID_TEST;0;0;0;0;NA;;;;;
SV_HU_CURRENT_HOSP_NUM;0;0;0;0;NA;;;;;
SV_HU_CURRENT_ED_NUM;ND;ND;0;ND;NA;;;;;
SV_HU_CURRENT_PC_NUM;0;0;0;0;NA;;;;;
SV_HU_CURRENT_CS_NUM;ND;ND;0;ND;NA;;;;;
SV_HU_CURRENT_OTHER_NUM;0;0;0;0;NA;;;;;
SV_HU_CURRENT_ANY_COVID_TEST;0;0;0;0;NA;;;;;
SV_VP_INF;0;0;0;0;NA;;;;;
SV_VP_PNC;0;0;0;0;NA;;;;;
SV_VP_DTP;0;0;0;0;NA;;;;;
SV_VP_TPV;0;0;0;0;NA;;;;;
SV_VP_MMR;0;0;0;0;NA;;;;;
SV_VP_HIB;0;0;0;0;NA;;;;;
SV_VP_HB;0;0;0;0;NA;;;;;
SV_VP_VZV;0;0;0;0;NA;;;;;
SV_VP_HZ;0;0;0;0;NA;;;;;
SV_VP_HPV;0;0;0;0;NA;;;;;
SV_VP_MNG;0;0;0;0;NA;;;;;
SV_VP_ROT;0;0;0;0;NA;;;;;
F_PARALYSIS;0;0;0;0;NA;;;;;
F_HEMIPLEGIA;0;0;0;0;NA;;;;;
F_PARKINSON;0;0;0;0;NA;;;;;
F_SKIN_ULCER;0;0;0;0;NA;;;;;
F_WEAKNESS;0;0;0;0;NA;;;;;
F_STROKE;0;0;0;0;NA;;;;;
F_DEMENTIA;0;0;0;0;NA;;;;;
F_DIFFICULTY_WALKING;0;0;0;0;NA;;;;;
F_PSYCIATRIC_ILLNESS;0;0;0;0;NA;;;;;
F_SEPSIS;0;0;0;0;NA;;;;;
F_MYOCARDIAL_INFARCT;0;0;0;0;NA;;;;;
F_BLADDER_INCONTINENCE;0;0;0;0;NA;;;;;
F_DIAB_COMPLICATIONS;0;0;0;0;NA;;;;;
F_ARTHRITIS;0;0;0;0;NA;;;;;
F_COAGULATION_DEF;0;0;0;0;NA;;;;;
F_VERTIGO;0;0;0;0;NA;;;;;
F_LIPID_ANOMALY;0;0;0;0;NA;;;;;
COD_LEARN_DISABILITIES;0;0;0;0;NA;;;;;
COD_CEREBRALPALSY;0;0;0;0;NA;;;;;
COD_DOWN;0;0;0;0;NA;;;;;
COD_NEURONMOTORDISEASE;0;0;0;0;NA;;;;;
